CC catalog number,Author / Creator,Contributor - reconciled,Union List of Artist Names ID,Library of Congress authority ID,Contributor Wikidata QID,Contributor family name,Contributor given name,Contributor dates,Contributor death year,Contributor birth year,Contributor nationality,Contributor role
30,"Sadeler, Jan, 1550-1600, Flemish [engraver]",Jan Sadeler,500020677,n99035751,Q3161745,Sadeler,Jan,1550-1600,1600,1550,Flemish,engraver
30,"Vos, Martin de, 1532-1603, Flemish [artist]",Maerten de Vos,500029816,n81032181,Q555022,Vos,Martin de,1532-1603,1603,1532,Flemish,artist
5,"Heyden, Pieter van der, 1530-1575, Dutch [engraver]",Pieter van der Heyden,500029457,no2010041362,Q2094287,Heyden,Pieter van der,1530-1575,1575,1530,Dutch,engraver
5,"Brueghel, Pieter, the elder, 1525-1569, Flemish [artist]",Pieter Brueghel the Elder,500013247,n80162848,Q43270,Brueghel,"Pieter, the elder",1525-1569,1569,1525,Flemish,artist
17,"Hess, Carl Ernst Christoph, 1755-1828, German [engraver]",Carl Ernst Christoph Hess,500066790,,Q76135,Hess,Carl Ernst Christoph,1755-1828,1828,1755,German,engraver
17,"Ostade, Adriaen van, 1610-1685, Dutch [artist]",Adriaen van Ostade,500021654,n82074193,Q352438,Ostade,Adriaen van,1610-1685,1685,1610,Dutch,artist
10,"Cort, Cornelis, 1533-before 1578, Flemish [engraver]",Cornelis Cort,500011556,nr95000677,Q167220,Cort,Cornelis,1533-before 1578,,1533,Flemish,engraver
10,"Zucchero, Frederico, 1541-1609, Italian [artist]",Federico Zuccari,500020194,n80014947,Q345605,Zucchero,Frederico,1541-1609,1609,1541,Italian,artist
59,"Roehn, Adolphe Eugene Gabriel, 1780-1867, French [artist]",Adolphe Roehn,500030272,nr91031240,Q2824901,Roehn,Adolphe Eugene Gabriel,1780-1867,1867,1780,French,artist
59,"Chollet, Antoin Joseph, 1793- [engraver]",Antoine Joseph Chollet,,,Q23939409,Chollet,Antoin Joseph,1793-,,1793,,engraver
16,"Basan, Pierre François, 1723-1797, French [engraver]",Pierre-François Basan,500042976,nr90010940,Q3383022,Basan,Pierre François,1723-1797,1797,1723,French,engraver
16,"Teniers II, David, 1610-1690, Flemish [artist]",David Teniers the Younger,500001443,n79059287,Q335022,Teniers II,David,1610-1690,1690,1610,Flemish,artist
29,"Heemskerck, Martin van, 1498-1574, Dutch [artist]",Maarten van Heemskerck,500124291,n50059018,Q538350,Heemskerck,Martin van,1498-1574,1574,1498,Dutch,artist
29,"Visscher, Claes Jansz, 1587-1652 [printer]",Claes Janszoon Visscher II,500015243,n80024100,Q1094674,Visscher,Claes Jansz,1587-1652,1652,1587,,printer
32,"Reni, Guido, 1575-1642, Italian [etcher]",Guido Reni,500030334,n80021717,Q109061,Reni,Guido,1575-1642,1642,1575,Italian,etcher
