Title,Identifier,CC catalog number,Edition,Description,Description 1,Materials/Techniques,Dimensions,Notes2,Subjects,Form / genre,Culture,Related work,Related information,Associated name,Use restrictions,Repository,Creation Date,HOLLIS number,Permalink,Source,Image ID,Permalink2
[The Apostles Distribute the Money to those in Need. Acts 4: 32-35],Coin and Conscience catalog 30,30,,"Depicts the Apostles distributing bags of money among the poor and needy. In the background people are taking communion.;<i>Materials/Techniques: </i>paper;<i>Materials/Techniques: </i>engraving (printing process);<i>Dimensions: </i>16.5 x 23.8 cm., image",Depicts the Apostles distributing bags of money among the poor and needy. In the background people are taking communion.,paper;engraving (printing process);,"16.5 x 23.8 cm., image",,Biblical events ; apostles ; money ; poor ; moneybags ; baskets ; coins ; city views (creative works),engravings,,"part of Bleichroeder Print Collection, Kress Collection","<a href=""http://www.library.hbs.edu/hc/cc/""</a>Coin & Conscience: Popular Views of Money, Credit and Speculation. </a>",,"Baker Library Special Collections and Archives, Harvard Business School: These images may not be reproduced or transmitted in any form or by any means, electronic or mechanical, without permission in writing from the Historical Collections Department, Baker Library, Harvard Business School. Appointment necessary to consult collection.","Baker Library Special Collections and Archives, Harvard Business School CC b1",ca. 1600,olvwork308286,"<a href=""http://id.lib.harvard.edu/via/olvwork308286/catalog"">http://id.lib.harvard.edu/via/olvwork308286/catalog</a>",HVD - Images,4087846,https://hollis.harvard.edu/primo-explore/fulldisplay?docid=HVD_VIAolvwork308286&context=L&vid=HVD2&lang=en_US
[The Fight of the Money-Bags and the Coffers],Coin and Conscience catalog 5,5,Second state.,"Caption below image is in Latin, French and Dutch: Riches make thieves, or, gold and silver have destroyed many. Printed in Belgium.;<i>Materials/Techniques: </i>paper;<i>Materials/Techniques: </i>engraving (printing process);<i>Dimensions: </i>23.7 x 30.4 cm., plate mark","Caption below image is in Latin, French and Dutch: Riches make thieves, or, gold and silver have destroyed many. Printed in Belgium.",paper;engraving (printing process);,"23.7 x 30.4 cm., plate mark",,allegories ; personification ; money ; coin hoards ; coffers (furniture) ; moneybags ; battles ; battlefields ; coins ; swords ; spears (weapons) ; war casualties,engravings,,"part of Bleichroeder Print Collection, Kress Collection","<a href=""http://www.library.hbs.edu/hc/cc/""</a>Coin & Conscience: Popular Views of Money, Credit and Speculation. </a>","Galle, Joannes, 1600-1676 [publisher]","Baker Library Special Collections and Archives, Harvard Business School: These images may not be reproduced or transmitted in any form or by any means, electronic or mechanical, without permission in writing from the Historical Collections Department, Baker Library, Harvard Business School. Appointment necessary to consult collection.","Baker Library Special Collections and Archives, Harvard Business School CF b4 xx",1558?,olvwork308229,"<a href=""http://id.lib.harvard.edu/via/olvwork308229/catalog"">http://id.lib.harvard.edu/via/olvwork308229/catalog</a>",HVD - Images,4087625,https://hollis.harvard.edu/primo-explore/fulldisplay?docid=HVD_VIAolvwork308229&context=L&vid=HVD2&lang=en_US
[Peasant with Coins],Coin and Conscience catalog 17,17,,"Below image: ""Aus der Sammlung des Canonicus Speth."";<i>Materials/Techniques: </i>paper;<i>Materials/Techniques: </i>engraving (printing process);<i>Materials/Techniques: </i>drypoint;<i>Dimensions: </i>28.5 x 19.7 cm., plate mark","Below image: ""Aus der Sammlung des Canonicus Speth.""",paper;engraving (printing process);drypoint;,"28.5 x 19.7 cm., plate mark",,peasants ; coins ; coin hoards ; hats ; male figures,engravings,,"part of Bleichroeder Print Collection, Kress Collection","<a href=""http://www.library.hbs.edu/hc/cc/""</a>Coin & Conscience: Popular Views of Money, Credit and Speculation. </a>",,"Baker Library Special Collections and Archives, Harvard Business School: These images may not be reproduced or transmitted in any form or by any means, electronic or mechanical, without permission in writing from the Historical Collections Department, Baker Library, Harvard Business School. Appointment necessary to consult collection.","Baker Library Special Collections and Archives, Harvard Business School CA g12 x",18th century,olvwork308270,"<a href=""http://id.lib.harvard.edu/via/olvwork308270/catalog"">http://id.lib.harvard.edu/via/olvwork308270/catalog</a>",HVD - Images,4089365,https://hollis.harvard.edu/primo-explore/fulldisplay?docid=HVD_VIAolvwork308270&context=L&vid=HVD2&lang=en_US
[Justice Rewards Toil],Coin and Conscience catalog 10,10,,"Justice, holding scales in one hand, offers riches to a kneeling peasant.;<i>Materials/Techniques: </i>paper;<i>Materials/Techniques: </i>engraving (printing process);<i>Dimensions: </i>26.5 x 31.5 cm., plate mark","Justice, holding scales in one hand, offers riches to a kneeling peasant.",paper;engraving (printing process);,"26.5 x 31.5 cm., plate mark",,allegories ; personification ; scales (weighing devices) ; wealth ; labor ; human figures,engravings,,"part of Bleichroeder Print Collection, Kress Collection","<a href=""http://www.library.hbs.edu/hc/cc/""</a>Coin & Conscience: Popular Views of Money, Credit and Speculation. </a>","Lafrery, Antoine, 1512-1577 [publisher]","Baker Library Special Collections and Archives, Harvard Business School: These images may not be reproduced or transmitted in any form or by any means, electronic or mechanical, without permission in writing from the Historical Collections Department, Baker Library, Harvard Business School. Appointment necessary to consult collection.","Baker Library Special Collections and Archives, Harvard Business School CF i1 xx",1566,olvwork308262,"<a href=""http://id.lib.harvard.edu/via/olvwork308262/catalog"">http://id.lib.harvard.edu/via/olvwork308262/catalog</a>",HVD - Images,4088687,https://hollis.harvard.edu/primo-explore/fulldisplay?docid=HVD_VIAolvwork308262&context=L&vid=HVD2&lang=en_US
J'ai Perdue!,Coin and Conscience catalog 59,59,,"A poor, pregnant woman with three small children holds a losing lottery ticket in her hand.;<i>Materials/Techniques: </i>paper;<i>Materials/Techniques: </i>engraving (printing process);<i>Dimensions: </i>56 x 42.8 cm., plate mark","A poor, pregnant woman with three small children holds a losing lottery ticket in her hand.",paper;engraving (printing process);,"56 x 42.8 cm., plate mark",,mothers ; poverty ; lotteries ; children ; pregnancy ; snow ; government office buildings,engravings,,"part of Bleichroeder Print Collection, Kress Collection","<a href=""http://www.library.hbs.edu/hc/cc/""</a>Coin & Conscience: Popular Views of Money, Credit and Speculation. </a>",,"Baker Library Special Collections and Archives, Harvard Business School: These images may not be reproduced or transmitted in any form or by any means, electronic or mechanical, without permission in writing from the Historical Collections Department, Baker Library, Harvard Business School. Appointment necessary to consult collection.","Baker Library Special Collections and Archives, Harvard Business School CE f3 xxx",1824,olvwork308321,"<a href=""http://id.lib.harvard.edu/via/olvwork308321/catalog"">http://id.lib.harvard.edu/via/olvwork308321/catalog</a>",HVD - Images,4087410,https://hollis.harvard.edu/primo-explore/fulldisplay?docid=HVD_VIAolvwork308321&context=L&vid=HVD2&lang=en_US
Der Bruder Esel mit dem Gelt.,Coin and Conscience catalog 6,6,,"An ass is pictured defecating coins while peasants, merchants, and noblemen run to catch them. Print by unknown artist.;<i>Materials/Techniques: </i>paper;<i>Materials/Techniques: </i>etching (printing process);<i>Materials/Techniques: </i>engraving (printing process);<i>Dimensions: </i>19.5 x 32 cm., plate mark","An ass is pictured defecating coins while peasants, merchants, and noblemen run to catch them. Print by unknown artist.",paper;etching (printing process);engraving (printing process);,"19.5 x 32 cm., plate mark",,allegories ; coins ; money ; excrement ; peasants ; merchants ; noblemen ; asses,etchings;engravings,,"part of Bleichroeder Print Collection, Kress Collection","<a href=""http://www.library.hbs.edu/hc/cc/""</a>Coin & Conscience: Popular Views of Money, Credit and Speculation. </a>",,"Baker Library Special Collections and Archives, Harvard Business School: These images may not be reproduced or transmitted in any form or by any means, electronic or mechanical, without permission in writing from the Historical Collections Department, Baker Library, Harvard Business School. Appointment necessary to consult collection.","Baker Library Special Collections and Archives, Harvard Business School CA g3 xx",Early 17th century,olvwork308255,"<a href=""http://id.lib.harvard.edu/via/olvwork308255/catalog"">http://id.lib.harvard.edu/via/olvwork308255/catalog</a>",HVD - Images,4089807,https://hollis.harvard.edu/primo-explore/fulldisplay?docid=HVD_VIAolvwork308255&context=L&vid=HVD2&lang=en_US
Le Plaisir des Vieillards.,Coin and Conscience catalog 16,16,,"Below image: ""Tiré du Cabinet de Mr. le Comte de Vence."" An old couple weighing coins.;<i>Materials/Techniques: </i>paper;<i>Materials/Techniques: </i>etching (printing process);<i>Dimensions: </i>26.5 x 19.2 cm., plate mark","Below image: ""Tiré du Cabinet de Mr. le Comte de Vence."" An old couple weighing coins.",paper;etching (printing process);,"26.5 x 19.2 cm., plate mark",,old age ; couples ; gold ; coins ; scales (weighing devices) ; moneybags,engravings,,"part of Bleichroeder Print Collection, Kress Collection","<a href=""http://www.library.hbs.edu/hc/cc/""</a>Coin & Conscience: Popular Views of Money, Credit and Speculation. </a>",,"Baker Library Special Collections and Archives, Harvard Business School: These images may not be reproduced or transmitted in any form or by any means, electronic or mechanical, without permission in writing from the Historical Collections Department, Baker Library, Harvard Business School. Appointment necessary to consult collection.","Baker Library Special Collections and Archives, Harvard Business School CA f19 x",18th century,olvwork308269,"<a href=""http://id.lib.harvard.edu/via/olvwork308269/catalog"">http://id.lib.harvard.edu/via/olvwork308269/catalog</a>",HVD - Images,4084274,https://hollis.harvard.edu/primo-explore/fulldisplay?docid=HVD_VIAolvwork308269&context=L&vid=HVD2&lang=en_US
[The Parable of Ananias and Sapphira. Acts 5: 1],Coin and Conscience catalog 29,29,,"Ananias and his wife Sapphira were struck dead for holding back some of their property that was to be communally owned.;<i>Materials/Techniques: </i>paper;<i>Materials/Techniques: </i>engraving (printing process);<i>Dimensions: </i>20.9 x 26.4 cm., plate mark",Ananias and his wife Sapphira were struck dead for holding back some of their property that was to be communally owned.,paper;engraving (printing process);,"20.9 x 26.4 cm., plate mark",,Biblical events ; parables ; money ; death ; moneybags ; coins ; apostles ; human figures,engravings,,"part of Bleichroeder Print Collection, Kress Collection","<a href=""http://www.library.hbs.edu/hc/cc/""</a>Coin & Conscience: Popular Views of Money, Credit and Speculation. </a>",,"Baker Library Special Collections and Archives, Harvard Business School: These images may not be reproduced or transmitted in any form or by any means, electronic or mechanical, without permission in writing from the Historical Collections Department, Baker Library, Harvard Business School. Appointment necessary to consult collection.","Baker Library Special Collections and Archives, Harvard Business School CC n6 x",early 17th century,olvwork308285,"<a href=""http://id.lib.harvard.edu/via/olvwork308285/catalog"">http://id.lib.harvard.edu/via/olvwork308285/catalog</a>",HVD - Images,4084326,https://hollis.harvard.edu/primo-explore/fulldisplay?docid=HVD_VIAolvwork308285&context=L&vid=HVD2&lang=en_US
[St. Roch Giving Alms to the Poor],Coin and Conscience catalog 32,32,,"St. Roch, born in France, was venerated in Italy for his charity toward the sick and his gift of healing.;<i>Materials/Techniques: </i>paper;<i>Materials/Techniques: </i>etching (printing process);<i>Dimensions: </i>29.3 x 45.5 cm., plate mark","St. Roch, born in France, was venerated in Italy for his charity toward the sick and his gift of healing.",paper;etching (printing process);,"29.3 x 45.5 cm., plate mark",,charity ; saints ; sick ; poor ; food ; money,etchings,,"part of Bleichroeder Print Collection, Kress Collection","<a href=""http://www.library.hbs.edu/hc/cc/""</a>Coin & Conscience: Popular Views of Money, Credit and Speculation. </a>","Stefanoni, Pietro, ca.1589-after 1627, Italian [publisher]","Baker Library Special Collections and Archives, Harvard Business School: These images may not be reproduced or transmitted in any form or by any means, electronic or mechanical, without permission in writing from the Historical Collections Department, Baker Library, Harvard Business School. Appointment necessary to consult collection.","Baker Library Special Collections and Archives, Harvard Business School CC i3 xx",1610,olvwork308288,"<a href=""http://id.lib.harvard.edu/via/olvwork308288/catalog"">http://id.lib.harvard.edu/via/olvwork308288/catalog</a>",HVD - Images,4085200,https://hollis.harvard.edu/primo-explore/fulldisplay?docid=HVD_VIAolvwork308288&context=L&vid=HVD2&lang=en_US
Le Veau d'Or. Exod. 32.,Coin and Conscience catalog 33,33,,"Adoration of the golden calf.;<i>Materials/Techniques: </i>paper;<i>Materials/Techniques: </i>etching (printing process);<i>Dimensions: </i>46.5 x 31.2 cm., plate mark",Adoration of the golden calf.,paper;etching (printing process);,"46.5 x 31.2 cm., plate mark",,Biblical events ; worship ; dance ; altars ; tablets ; gold ; calves ; gods ; human figures ; mountains ; prophets,etchings,,"part of Bleichroeder Print Collection, Kress Collection","<a href=""http://www.library.hbs.edu/hc/cc/""</a>Coin & Conscience: Popular Views of Money, Credit and Speculation. </a>","Valck, Gerard, born 1651-1652 -died 1726 [publisher]","Baker Library Special Collections and Archives, Harvard Business School: These images may not be reproduced or transmitted in any form or by any means, electronic or mechanical, without permission in writing from the Historical Collections Department, Baker Library, Harvard Business School. Appointment necessary to consult collection.","Baker Library Special Collections and Archives, Harvard Business School CC f7 xxx",1683,olvwork308289,"<a href=""http://id.lib.harvard.edu/via/olvwork308289/catalog"">http://id.lib.harvard.edu/via/olvwork308289/catalog</a>",HVD - Images,4087942,https://hollis.harvard.edu/primo-explore/fulldisplay?docid=HVD_VIAolvwork308289&context=L&vid=HVD2&lang=en_US
